time	V(out1)
1.305022901272124e+01	8.264685e-02
1.305022902492827e+01	8.463195e-02
1.305022904934233e+01	9.002651e-02
1.305022905544585e+01	9.180392e-02
1.305022906765288e+01	9.770804e-02
1.305022909206694e+01	1.152612e-01
1.305022909533292e+01	1.189590e-01
1.305022910186488e+01	1.301478e-01
1.305022910984584e+01	1.486713e-01
1.305022911749367e+01	1.687082e-01
1.305022912488551e+01	1.833217e-01
1.305022913138788e+01	1.889247e-01
1.305022913646052e+01	1.898758e-01
1.305022914152624e+01	1.895024e-01
1.305022914984375e+01	1.859300e-01
1.305022915926137e+01	1.812151e-01
1.305022916575113e+01	1.831229e-01
1.305022917279032e+01	1.901828e-01
1.305022918686868e+01	2.035284e-01
1.305022919846672e+01	2.096989e-01
1.305022921314803e+01	2.121594e-01
1.305022923329215e+01	2.129634e-01
1.305022926493629e+01	2.131291e-01
1.305022931424197e+01	2.131512e-01
1.305022941285333e+01	2.131859e-01
1.305022961007606e+01	2.132558e-01
1.305023000452151e+01	2.133948e-01
1.305023079341242e+01	2.136730e-01
1.305023237119423e+01	2.142291e-01
1.305023552675786e+01	2.153406e-01
1.305024183788512e+01	2.175612e-01
1.305055446013963e+01	3.232248e-01
1.305086708239415e+01	4.233684e-01
1.305117970464866e+01	5.179923e-01
1.305149232690317e+01	6.070962e-01
1.305180494915769e+01	6.906803e-01
1.305211757141220e+01	7.687444e-01
1.305243019366672e+01	8.412887e-01
1.305288733652386e+01	9.390107e-01
1.305334447938100e+01	1.029796e+00
1.305380162223814e+01	1.113645e+00
1.305425876509528e+01	1.190557e+00
1.305471590795242e+01	1.260532e+00
1.305517305080957e+01	1.323570e+00
1.305563019366671e+01	1.379672e+00
1.305608733652385e+01	1.431439e+00
1.305654447938099e+01	1.479553e+00
1.305700162223813e+01	1.524016e+00
1.305745876509527e+01	1.564827e+00
1.305791590795242e+01	1.601986e+00
1.305837305080956e+01	1.635494e+00
1.305883019366670e+01	1.665350e+00
1.305920162223813e+01	1.688057e+00
1.305957305080956e+01	1.709418e+00
1.305994447938098e+01	1.729435e+00
1.306031590795241e+01	1.748106e+00
1.306068733652384e+01	1.765433e+00
1.306105876509527e+01	1.781414e+00
1.306143019366669e+01	1.796050e+00
1.306153019366669e+01	1.799914e+00
1.306153175616669e+01	1.799957e+00
1.306153214679169e+01	1.799967e+00
1.306153292804170e+01	1.799998e+00
1.306153312335420e+01	1.800006e+00
1.306153351397920e+01	1.800020e+00
1.306200483094348e+01	1.816782e+00
1.306247614790777e+01	1.832358e+00
1.306294746487205e+01	1.846750e+00
1.306341878183633e+01	1.859956e+00
1.306389009880062e+01	1.871977e+00
1.306436141576491e+01	1.882813e+00
1.306483273272919e+01	1.892464e+00
1.306531844701490e+01	1.901628e+00
1.306580416130062e+01	1.910136e+00
1.306628987558633e+01	1.917988e+00
1.306677558987204e+01	1.925184e+00
1.306726130415776e+01	1.931724e+00
1.306774701844347e+01	1.937608e+00
1.306823273272918e+01	1.942835e+00
1.306871844701489e+01	1.947660e+00
1.306920416130061e+01	1.952142e+00
1.306968987558632e+01	1.956281e+00
1.307017558987203e+01	1.960079e+00
1.307066130415775e+01	1.963535e+00
1.307114701844346e+01	1.966648e+00
1.307163273272917e+01	1.969420e+00
1.307213273272917e+01	1.972047e+00
1.307263273272917e+01	1.974486e+00
1.307313273272917e+01	1.976735e+00
1.307363273272917e+01	1.978794e+00
1.307413273272917e+01	1.980665e+00
1.307463273272917e+01	1.982345e+00
1.307513273272917e+01	1.983837e+00
1.307534701844345e+01	1.984450e+00
1.307556130415774e+01	1.985042e+00
1.307577558987202e+01	1.985611e+00
1.307598987558631e+01	1.986160e+00
1.307620416130059e+01	1.986686e+00
1.307641844701488e+01	1.987191e+00
1.307663273272916e+01	1.987674e+00
1.307673273272916e+01	1.987894e+00
1.307727558987202e+01	1.988999e+00
1.307781844701487e+01	1.990019e+00
1.307836130415773e+01	1.990955e+00
1.307890416130059e+01	1.991808e+00
1.307944701844344e+01	1.992576e+00
1.307998987558630e+01	1.993260e+00
1.308053273272915e+01	1.993860e+00
1.308111844701487e+01	1.994451e+00
1.308170416130058e+01	1.994994e+00
1.308228987558629e+01	1.995490e+00
1.308287558987201e+01	1.995939e+00
1.308346130415772e+01	1.996341e+00
1.308404701844343e+01	1.996696e+00
1.308463273272914e+01	1.997004e+00
1.308530416130057e+01	1.997323e+00
1.308597558987200e+01	1.997614e+00
1.308664701844343e+01	1.997878e+00
1.308731844701485e+01	1.998113e+00
1.308798987558628e+01	1.998322e+00
1.308866130415771e+01	1.998502e+00
1.308933273272913e+01	1.998655e+00
1.309013273272913e+01	1.998818e+00
1.309093273272913e+01	1.998966e+00
1.309173273272913e+01	1.999097e+00
1.309253273272913e+01	1.999213e+00
1.309333273272912e+01	1.999313e+00
1.309413273272912e+01	1.999398e+00
1.309493273272912e+01	1.999466e+00
1.309537558987198e+01	1.999503e+00
1.309581844701483e+01	1.999536e+00
1.309626130415769e+01	1.999566e+00
1.309670416130055e+01	1.999592e+00
1.309714701844340e+01	1.999615e+00
1.309758987558626e+01	1.999635e+00
1.309803273272911e+01	1.999651e+00
1.309826130415768e+01	1.999658e+00
1.309848987558625e+01	1.999662e+00
1.309871844701483e+01	1.999663e+00
1.309894701844340e+01	1.999661e+00
1.309917558987197e+01	1.999657e+00
1.309940416130054e+01	1.999650e+00
1.309963273272911e+01	1.999640e+00
1.309993273272911e+01	1.999615e+00
1.310013273272911e+01	1.999591e+00
1.310033273272911e+01	1.999558e+00
1.310053273272911e+01	1.999512e+00
1.310063273272911e+01	1.999482e+00
1.310073273272911e+01	1.999444e+00
1.310083273272911e+01	1.999393e+00
1.310093273272911e+01	1.999325e+00
1.310094523272911e+01	1.999313e+00
1.310097648272911e+01	1.999268e+00
1.310099210772911e+01	1.999232e+00
1.310099992022910e+01	1.999202e+00
1.310100382647910e+01	1.999179e+00
1.310100538897910e+01	1.999164e+00
1.310100851397910e+01	1.999126e+00
1.310100929522910e+01	1.999112e+00
1.310101085772910e+01	1.999073e+00
1.310101124835411e+01	1.999060e+00
1.310101202960411e+01	1.999013e+00
1.310101359210411e+01	1.998855e+00
1.310101390561112e+01	1.998797e+00
1.310101398398788e+01	1.998776e+00
1.310101414074138e+01	1.998719e+00
1.310101445424840e+01	1.998562e+00
1.310101453262515e+01	1.998496e+00
1.310101468937866e+01	1.998296e+00
1.310101472856704e+01	1.998214e+00
1.310101480694379e+01	1.997972e+00
1.310101482653798e+01	1.997877e+00
1.310101486572636e+01	1.997607e+00
1.310101487552345e+01	1.997511e+00
1.310101489511764e+01	1.997088e+00
1.310101493430601e+01	1.995504e+00
1.310101494135492e+01	1.994646e+00
1.310101495545272e+01	1.991132e+00
1.310101495897717e+01	1.988841e+00
1.310101496602607e+01	1.980062e+00
1.310101496778829e+01	1.975420e+00
1.310101497131274e+01	1.954001e+00
1.310101497608120e+01	1.887705e+00
1.310101498151236e+01	1.738145e+00
1.310101498751282e+01	1.486078e+00
1.310101499237510e+01	1.234795e+00
1.310101499719259e+01	9.697821e-01
1.310101500468133e+01	5.842804e-01
1.310101501273212e+01	2.775662e-01
1.310101502097512e+01	1.146229e-01
1.310101502745523e+01	6.108941e-02
1.310101503483844e+01	3.458318e-02
1.310101504960488e+01	1.635074e-02
1.310101506232571e+01	1.236739e-02
1.310101507794344e+01	1.156171e-02
1.310101509794154e+01	1.133345e-02
1.310101513080855e+01	1.129469e-02
1.310101517678499e+01	1.128829e-02
1.310101526873786e+01	1.128898e-02
1.310101545264362e+01	1.128951e-02
1.310101582045512e+01	1.129278e-02
1.310101655607813e+01	1.129788e-02
1.310101802732415e+01	1.130834e-02
1.310102096981618e+01	1.132902e-02
1.310103862476840e+01	1.145647e-02
1.310106216470468e+01	1.163545e-02
1.310110924457725e+01	1.202407e-02
1.310120340432238e+01	1.290812e-02
1.310130340432238e+01	1.399045e-02
1.310140340432238e+01	1.526373e-02
1.310150340432238e+01	1.673296e-02
1.310160340432238e+01	1.842767e-02
1.310170340432238e+01	2.033403e-02
1.310180340432238e+01	2.249680e-02
1.310190340432238e+01	2.487857e-02
1.310200340432238e+01	2.751107e-02
1.310210340432238e+01	3.034768e-02
1.310220340432238e+01	3.343093e-02
1.310230340432238e+01	3.668420e-02
1.310240340432238e+01	4.016439e-02
1.310250340432238e+01	4.376464e-02
1.310260340432238e+01	4.756692e-02
1.310270340432238e+01	5.144493e-02
1.310280340432238e+01	5.552230e-02
1.310290340432238e+01	5.960376e-02
1.310300340432238e+01	6.385767e-02
1.310310340432238e+01	6.805594e-02
1.310320340432238e+01	7.243451e-02
1.310330340432238e+01	7.673922e-02
1.310340340432238e+01	8.125893e-02
1.310350340432238e+01	8.563977e-02
1.310360340432238e+01	9.025130e-02
1.310370340432238e+01	9.471818e-02
1.310380340432238e+01	9.946617e-02
1.310390340432238e+01	1.040502e-01
1.310400340432238e+01	1.088930e-01
1.310410340432238e+01	1.136232e-01
1.310420340432238e+01	1.185010e-01
1.310430340432238e+01	1.232518e-01
1.310440340432238e+01	1.276831e-01
1.310450340432238e+01	1.320691e-01
1.310460340432238e+01	1.356701e-01
1.310470340432238e+01	1.391802e-01
1.310480340432238e+01	1.414504e-01
1.310490340432237e+01	1.436548e-01
1.310500340432237e+01	1.447433e-01
1.310510340432237e+01	1.457639e-01
1.310520340432237e+01	1.459966e-01
1.310530340432237e+01	1.461599e-01
1.310540340432237e+01	1.458780e-01
1.310550340432237e+01	1.455280e-01
1.310560340432237e+01	1.449840e-01
1.310570340432237e+01	1.443466e-01
1.310590340432237e+01	1.430864e-01
1.310610340432237e+01	1.418830e-01
